gene,F518.21h,F518.29h,F518.33h,F518.37h,F518.41h,F518.45h,F518.49h,F518.53h,F518.57h
SCO5464,5.01073011722368,5.77182690256047,6.10750189509035,5.40008246153231,5.43840375560664,5.48889342826512,5.73798714139822,5.08760427500771,5.65293258743166
SCO4761,10.4237462291148,10.3955650763753,10.5842933875929,9.94360230683797,10.2412774477568,9.88289604219809,9.82531216900674,8.8372109191498,8.38181690024349
SCO0527,10.149780985188,10.1889445649798,10.1705023535347,9.90468144808162,9.91228060203084,9.70100990156859,9.86077489160983,9.74109240635467,9.68793939185261
SCO1480,8.85938983665005,7.98703025600854,8.86458167919769,9.65488063350074,9.28585941086606,8.51598887390894,9.70100990156859,8.97957445108949,9.14318193981102
SCO3899,12.5119840263698,12.106007419541,12.106007419541,11.8229098010038,11.6282764208885,11.6906091533989,11.4011930057844,11.2535179210443,11.0916315230953
SCO4296,12.5473682619658,12.9697258685416,12.6659564012138,12.6659564012138,12.5473682619658,12.8092230522786,12.3163959370128,12.6659564012138,12.6659564012138
SCO4505,9.63534125153936,10.0006291633613,10.0444426941313,9.49616360362673,9.18604819190491,9.30429807768464,8.98276863105441,8.66209074676798,8.3851529790585
SCO3096,12.4717367364603,12.3877992496567,12.3594015319104,12.3594015319104,12.45611793978,12.3163959370128,12.6396188189764,12.3877992496567,12.3163959370128
SCO5101,4.26736933005483,6.15493059550812,6.40884392844753,6.48807220375765,6.49122957486248,6.81691253527385,6.10750189509035,6.50410833193486,6.53254208144306
SCO4294,8.62881409065416,9.30613765873095,8.9316929050428,8.96165548041763,8.66786847739938,8.3701691251721,8.76146258486444,8.60965073356507,8.44278226612969
SCO4165,9.42561455666294,9.51987209651443,9.23489990648461,9.47916947018387,9.30429807768464,8.16099747718566,8.87462963613303,8.09833626882254,7.83916178762995
SCO4727,10.5003472892414,10.2554810627612,10.2513627399486,9.92656450843702,9.53997731262379,9.65488063350074,9.44764577217848,9.38093238632103,9.2113745960974
SCO4710,9.33891214423585,9.63534125153936,9.20210749442236,9.51987209651443,9.28915819706167,9.57996327637634,9.45450265278576,9.75714736356896,9.85277050196734
SCO3906,9.90980809923064,9.99053735350915,9.70100990156859,9.52187739313902,9.52187739313902,9.29744874109081,9.47916947018387,9.2553118863596,9.11353092567926
SCO2633,10.1235150342099,9.46850412444385,9.22406600699074,8.89809747715051,8.20838611315003,8.58127173136195,8.56682360859841,7.85268555234858,7.6800351761664
SCO4649,11.1999360787507,11.1523771030991,11.0840864168492,11.1710002211046,11.2797388922826,11.0840864168492,11.1210189996334,11.1523771030991,11.1425722762618
SCO6531,8.80014852525909,10.1078273342515,9.72216239508117,9.91228060203084,10.4680628291406,9.96708212625773,10.2902646526223,9.98030304207365,9.84463254257714
SCO0999,9.01029187213793,8.91461767219961,8.15218905386719,7.88247323062927,8.01525396955178,7.91598557746046,7.67099451013783,9.07215940735607,10.1705023535347
SCO4701,9.49616360362673,10.0117894365781,9.95947555171691,9.95947555171691,9.90980809923064,9.85277050196734,9.96516058500739,9.91696920248412,9.7823685186335
SCO4662,12.8092230522786,12.6396188189764,12.7073608098552,12.7073608098552,12.6659564012138,12.4717367364603,12.106007419541,12.4717367364603,11.8488528527174
SCO5625,11.1210189996334,11.1132567011199,11.2254036129891,11.1210189996334,11.1210189996334,11.0339276729725,10.9884456377705,10.9603672269309,10.7759449230539
SCO5736,9.77493710379403,9.78955719158992,9.74766712073442,9.72216239508117,9.74368811972042,9.76767870466598,9.86376985641728,9.93225905103363,9.99053735350915
SCO6124,9.54798271404534,9.28915819706167,9.21570555737743,9.16025241800057,9.3554122781233,9.07215940735607,9.39808096868983,9.0308357013453,9.20746721030252
SCO4711,9.59454440272504,9.67953288006584,9.75198286323113,8.88887513482151,9.05010258658722,9.2113745960974,9.05445358187853,9.20210749442236,9.16827375173517
