gene,X21,X29,X33,X37,X41,X45,X49,X53,X57
SCO0001,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.109231020992277,0.109231020992277,0.098095627025734
SCO0002,0.098095627025734,0.098095627025734,0.229438575968002,0.098095627025734,0.326063830222541,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734
SCO0003,0.098095627025734,0.66683300894491,0.098095627025734,0.098095627025734,0.128842361040475,0.098095627025734,0.109231020992277,0.123016495192365,0.098095627025734
SCO0004,1.55907420305512,1.98324360086682,0.574597209967186,0.633992126932875,0.445514406802378,0.87592370406253,0.903694621663495,0.882022288389206,0.728672365571204
SCO0005,1.02659081555912,1.01286791200667,0.399026526395614,0.221202131788091,0.439369706788605,0.74872377013661,0.562543295838132,0.234463132185199,0.703231067831688
SCO0006,0.098095627025734,0.098095627025734,0.439369706788605,0.098095627025734,0.098095627025734,0.098095627025734,0.11716700801535,0.098095627025734,0.098095627025734
SCO0007,0.098095627025734,0.098095627025734,0.439369706788605,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734
SCO0008,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734
SCO0009,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734
SCO0010,0.098095627025734,0.870238282028143,0.098095627025734,0.892915042155687,0.098095627025734,0.111487378113088,0.768500304698222,0.109231020992277,0.263313113887358
SCO0011,0.098095627025734,0.098095627025734,0.439369706788605,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734
SCO0012,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734
SCO0013,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734
SCO0014,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734
SCO0015,0.098095627025734,0.098095627025734,0.098095627025734,0.112188721769411,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734
SCO0016,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734
SCO0017,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734,0.098095627025734
