gene,F517_21h,F517_29h,F517_33h,F517_37h,F517_41h,F517_45h,F517_49h,F517_53h,F517_57h
SCO0057,4.11547721741994,5.41503749927884,3.18762700317577,4.71271804791953,3.84130225398094,3.4594316186373,3.03952836418664,1.18762700317577,3.83007499855769
SCO0058,9.36157830317195,8.63964218081734,7.63016598618268,7.69542164337447,7.22988695788337,7.08274043100794,7.14692218216016,6.8510549374619,6.9215103848813
SCO0059,6.71881824745595,6.18762700317577,5.41878963413995,5.98742193392053,5.88264304936184,5.70965824817047,5.79585928321977,5.83289001416474,5.15650448567999
SCO0060,2.78427130894456,3.67556504950206,2.25633975325979,2.47393118833241,2.3536369546147,0,2.78427130894456,2.50250034052918,2.55799545312089
SCO0061,6.97090476933069,6.79369361600166,6.94381716460688,6.3497112514009,6.45212681801406,6.36826393061011,6.52704252479197,6.42066204847272,6.49363310277496
SCO0062,8.87276037077704,8.30530177629995,8.38490363998754,7.40277522504498,7.50691360503184,7.67006606909757,7.65264582950786,7.49541091574286,7.29666133627693
SCO0063,6.39993060688864,6.18762700317577,5.60321420527738,5.63742992061529,5.20511442990461,5.82725447949531,5.64705862181307,5.32992088564089,4.78427130894456
SCO0064,5.36535037517849,5.76376565350992,6.39993060688864,5.77258950389693,5.85244281158614,5.76671293756026,5.79585928321977,5.95419631038687,6.14974711950468
SCO0065,5.30580842952409,5.55458885167764,5.63742992061529,5.60815212809305,5.59991284218713,5.64064663329883,5.41503749927884,5.86074213480463,6.06608919045777
SCO0066,3.90153736111431,4.40750382659344,5.1963972128035,3.92810708151821,4.48112668973662,3.4594316186373,4.22239242133645,5.20511442990461,4.36923380966572
SCO0067,5.30580842952409,4.55799545312089,4.48112668973662,3.25633975325979,3.70659194512269,4.67556504950206,4.61143471208235,4.06847973788277,5.20076240536491
SCO0068,0.289506617194985,4.0198995574377,5.1743709064735,4.17880315278877,4.39231742277876,5.07324898203064,4.68805599368526,4.96450131877861,5.06369467531739
SCO0069,4.79585928321977,5.64064663329883,7.813068573252,5.63742992061529,6.01495034146597,5.99246632731459,6.36923380966572,7.14522456081399,6.86349800009514
SCO0070,4.30580842952409,3.67556504950206,4.17880315278877,3.92810708151821,3.03952836418664,4.14295795384204,4.10619940383193,4.17880315278877,4.78427130894456
SCO0071,5.77844223014236,4.90153736111431,2.78427130894456,4.48112668973662,4.11547721741994,4.95419631038687,4.813068573252,3.95935801550265,4.36923380966572
SCO0072,9.29359937182887,8.42136357780378,8.4318457869654,7.79694089894523,8.13099948953399,8.63581887070931,9.17631168994794,9.48940199597179,8.90371450884092
SCO0073,5.9490160712812,4.68805599368526,2.78427130894456,2.47393118833241,4.11547721741994,2.95935801550265,3.51657552574091,3.03952836418664,3.63097489847799
SCO0074,3.62449086490779,0.736965594166206,1.28950661719499,1.15200309344505,1.15200309344505,0,1.28950661719499,1.58496250072116,2.55799545312089
SCO0075,7.54646578805537,7.48828648130948,6.56478461878353,7.59079494602331,7.54603698881283,7.33290680262443,7.29666133627693,7.02852004001005,7.12928301694497
SCO0076,5.80161855250846,5.72489276186563,5.54088143225704,5.45578384162215,5.50603203149944,5.07324898203064,4.99498192523338,4.96450131877861,5.11547721741994
SCO0079,5.36535037517849,5.47031993478003,5.02729169166774,6.06129617926887,6.22881869049588,5.92018741822198,5.99498192523338,5.65344223860392,6.3497112514009
SCO0080,8.10968557961017,7.98267674257689,5.56816725817818,6.3497112514009,6.54432051622381,6.48471102708566,6.45029482406517,5.48112668973662,5.6130732074781
SCO0081,4.79585928321977,6.44662384233668,5.50250034052918,5.41503749927884,5.99246632731459,5.80161855250846,5.73395684429387,5.70659194512269,4.93336280696971
SCO0083,5.41315776606062,5.29768054864069,5.38849571182635,5.15650448567999,5.11547721741994,5.1963972128035,5.23946593469539,4.73696559416621,4.78427130894456
SCO0084,6.54432051622381,6.46307019570065,4.37696945844532,6.00749453654692,5.70965824817047,4.89616418901546,5.61470984411521,4.68805599368526,5.55117418726487
SCO0085,3.62449086490779,4.40750382659344,4.11084576868829,4.37696945844532,4.62449086490779,4.14295795384204,4.10619940383193,3.25633975325979,4.62449086490779
SCO0086,5.77844223014236,6.01618923809933,5.72489276186563,5.94381716460688,5.77844223014236,5.82725447949531,5.28950661719499,5.10852445677817,5.55117418726487
SCO0087,7.10736239868804,7.0236003590589,5.84688328624424,6.89212113627818,6.3497112514009,6.14522456081399,6.0198995574377,5.77844223014236,5.95677947140088
SCO0088,7.63097489847799,7.47843258056735,6.95096084134548,7.05166211982249,6.95742453961681,6.7279204545632,6.77698127301409,6.6566234858486,6.72489276186563
SCO0089,8.26522433692462,8.33985000288462,7.6574177027918,8.15987133677839,7.75859337381558,7.72489276186563,7.75265940127135,7.50161606526957,7.72109918870719
SCO0090,3.25633975325979,3.23946593469539,2.32192809488736,2.47393118833241,2.71271804791953,2.57154198495883,2.78427130894456,2.68805599368526,2.55799545312089
SCO0091,2.03952836418664,0.736965594166206,0,1.15200309344505,0,0,0,0,0
SCO0092,3.62449086490779,3.67556504950206,3.51657552574091,2,2,3.4594316186373,3.25633975325979,2.50250034052918,2.93859945533586
SCO0095,5.11547721741994,5.00998408857262,4.46669961910134,4.71271804791953,4.96962635095648,4.14295795384204,4.68805599368526,4.42253203582577,3.72489276186563
SCO0096,9.92843612588978,9.59867288075206,9.08466077486712,8.56943370599108,8.46443229969566,8.51679436457953,8.66770293172909,8.64865717603855,8.55330929945107
