gene,ds1_33h,ds1_41h,ds1_45h,ds1_49h,ds1_53h,ds1_57h,ds1_61h,ds1_65h,ds2_33h,ds2_41h,ds2_45h,ds2_49h,ds2_53h,ds2_57h,ds2_61h,ds2_65h,ds1_cluster,ds2_cluster,highlighted,profile_selected,ds1_var,ds2_var,ds1_median,ds2_median
SCO4469,-2.1129454134,0.6865761223,1.0131408692,0.1720756654,-0.8050004778000001,-0.4507074216,0.6132423254,0.8836183305,-0.7111834698,0.256265155,0.4577276341,2.1691343175,0.22297529300000002,-0.2090693166,-0.9674442456000001,-1.2184053676,ds1_1,ds2_1,True,False,1.7956499746999999,52.9274004684,89.0490642387,51.756440281
SCO4550,-1.8950344888,0.5120040114000001,0.7477471881000001,1.6335006940999999,-0.8660335602,-0.3201690534,-0.0626187523,0.25060396100000004,-2.1514337575,-0.24872959090000002,0.4271581028,1.3142549487,0.9420670277000001,-0.5918712731,0.39337078950000004,-0.08481624730000001,ds1_1,ds2_1,True,False,21.4845725847,18.8914910226,93.5634800202,60.4996096799
SCO4596,0.1659928039,0.4322671066,-0.2761129829,2.2689732392,0.08478831860000001,-0.8607084011,-0.6198241619,-1.1953759224,-0.3225500034,0.7290412817,0.8465310455,0.457150851,0.6039173194,-1.9363162846000002,0.8725894692,-1.2503636787,ds1_1,ds2_1,True,False,7.6631259484,16.5495706479,83.4850784016,41.2177985948
SCO4856,-0.8134979830000001,1.5888323925,1.7715959948000002,-0.0690207529,-0.8340557568,-0.4684371272,-0.40794215980000004,-0.7674746078,-0.6457005345,-0.0095731281,1.2980844922,1.2205944089,-0.7243564474,-1.8772555002,0.1607166154,0.5774900937,ds1_1,ds2_1,True,False,14.4663631765,1.4832162373,98.6090035407,92.5839188134
SCO5031,-0.2153355491,-0.0057368793,0.29360419530000004,2.3233476717,-1.4713150228,-0.30251134690000003,-0.21179488400000002,-0.4102581849,-1.3490067226,0.21343714290000002,0.9409352917,0.9759003842,1.3396822504,0.0766209109,-0.8967820935,-1.3007871639,ds1_1,ds2_1,True,False,58.9150227618,20.218579235,89.4410723318,77.2833723653
SCO5047,-0.4798245305,1.0220119264,0.7894081821000001,1.4557098911000002,-1.8701011607,-0.6666038147000001,-0.19588415620000002,-0.054716337500000004,-1.1708932909,1.1820996005,0.8856938227000001,1.0218601299,0.4651544479,0.0010797319,-0.7786562535,-1.6063381885,ds1_1,ds2_1,True,False,72.2180070814,35.5971896956,96.8259989884,84.231069477
SCO5064,1.1239212939,-0.6991652043000001,0.5197731727,1.9229884501,-1.1227055177,-0.5994657386000001,-0.5269342465,-0.6184122095,-1.1247974612,1.5905411259000002,0.5160087459,1.3381912498,0.14827575210000002,-0.5883560664,-0.8596288358,-1.0202345104,ds1_1,ds2_1,True,False,5.9559939302,47.619047619,83.0298431968,17.6424668228
SCO5079,-0.2114000715,-1.0265407303,0.0572350391,1.6827417358,1.4865141081,-0.06352232940000001,-0.9612221111,-0.9638056407000001,-1.7927219364,0.7951107420000001,0.4355871591,1.178515265,-1.3914617093000001,0.754609796,-0.17623807500000002,0.1965987586,ds1_1,ds2_1,True,False,96.3454729388,23.4192037471,1.5553869499,62.4512099922
SCO5223,-0.0029481278000000003,-0.2985138486,-0.2550574425,2.5908381121,-0.7640624060000001,-0.4662965228,-0.46900565990000004,-0.3349541045,-1.5036322894,-0.2619174284,1.3769148586,1.1666450012,-0.7883881239,-1.0878604166,0.4968018859,0.6014365125000001,ds1_1,ds2_1,True,False,86.722306525,39.656518345,76.416287304,80.8743169399
SCO5256,-0.43030653500000005,0.8958684177,-0.021427681400000002,2.1937592171,-0.9678556072000001,-0.3501114241,-1.0265638595,-0.2933625277,-0.3210553867,1.1394397957,0.26598763400000003,0.1875202564,-0.1944330158,-2.2483658736,1.1830412392,-0.0121346493,ds1_1,ds2_1,True,False,21.8007081437,69.9453551913,43.7784522003,5.6206088993000005
SCO5383,0.0467900627,-1.4136602064,2.3980802608,-0.2161086996,-0.3254387002,-0.2433422903,-0.0664993396,-0.1798210875,-1.1015067242,1.1681798686,1.2133695095,0.9211163527,-0.9675055755,-0.2710724191,-1.3836456002,0.42106458830000004,ds1_1,ds2_1,True,False,4.3626707132,75.0975800156,22.230652503800002,20.7650273224
SCO5405,-1.1666891956,-0.2821830335,0.29004422350000003,2.1398146953,0.8496777802000001,-0.5498792059000001,-0.8012521313000001,-0.47953313280000004,0.5516555062,-1.8187215311,0.3411187335,1.5912944137,0.4468997293,0.4548485081,-0.5545849903,-1.0125103695,ds1_1,ds2_1,True,False,82.6378351037,13.8173302108,95.7258472433,79.8594847775
SCO5711,-0.9790007935,0.17634995650000002,0.0675689809,2.4834059415,-0.3053176865,-0.5780939444000001,-0.5687265958000001,-0.2961858587,-0.4353154462,0.7671671167,0.0458961554,0.5600663641,1.2181737839,0.3981556974,-0.2766034419,-2.2775402295,ds1_1,ds2_1,True,False,70.6752655539,30.757220921200002,88.3788568538,53.0835284934
SCO5717,-1.4823575304,-0.6103312472,-0.2193449909,2.3176816851,-0.032674499999999995,-0.0457473003,0.0840463832,-0.0112724995,-0.4311854386,1.2054402304,-1.1448840955,0.8827550238,0.2880977091,1.0461045888,-0.08974386620000001,-1.7565841517,ds1_1,ds2_1,True,False,72.1547799697,29.0398126464,93.5255437532,17.9547228728
SCO5724,0.254849025,0.1897552204,-0.3581772569,2.2865935259,-1.3133933894,-0.8554673942000001,-0.2817695633,0.07760983240000001,-0.3085404155,0.194682664,1.9624273514000001,0.8926754027,0.1753203989,-1.1516868524000001,-1.2725629687,-0.4923155803,ds1_1,ds2_1,True,False,31.3606474456,49.6487119438,94.9797673242,25.3708040593
SCO5747,-0.0164564237,-0.1429692505,0.105859268,2.3138430866,-1.2857502888,-0.9752629799,0.0707991442,-0.0700625559,-1.4682185136,2.0098844858,0.7788953566,0.38267187420000004,-0.2690184114,-0.8026202587,-0.055454225700000005,-0.5761403072,ds1_1,ds2_1,True,False,28.8189175518,24.199843872,92.8426909459,50.5074160812
SCO5793,-0.46138030830000004,1.4845965452,1.4271851835,0.7163653058,-0.8314629095,-0.7014325461,-1.3243598457,-0.309511425,-0.46231856400000004,1.5635151983000002,0.6323660128,0.5430343237,-1.2194418457,0.9581253676,-0.6826876715,-1.3325928212,ds1_1,ds2_1,True,False,10.0784016186,87.6658860265,80.5134041477,30.2888368462
SCO5854,-0.1077222786,0.8401968769,0.1534885855,1.749907752,-0.4806974015,0.5051077443,-1.0369025393,-1.6233787393,-1.3616518033,0.3958696226,0.5011086205,2.0208509585,0.1170520173,-0.0359936376,-0.4319811411,-1.2052546368,ds1_1,ds2_1,True,False,8.6874051593,65.7298985168,67.0460293374,6.0109289617
SCO5859,-1.5379082423,0.9216403931,0.0430430529,0.5165319843,-1.6159715893,-0.0642623035,0.42528831980000004,1.3116383849,-1.0392462732,1.3192555783,-1.3871732125,1.4820427535,-0.5158067418,0.6457887544,-0.6047723829,0.0999115242,ds1_1,ds2_1,True,False,3.894790086,29.5862607338,82.6251896813,31.0694769711
SCO6031,-1.5290239497,0.9624866105000001,0.9296013838,0.6062747714,-1.4437529186,-0.6903062613000001,0.21852954300000002,0.9461908207,-0.7147056181,-1.3160554401,0.0729292983,1.9813128943,-0.43088930200000003,-0.8826513108,0.7662915104,0.523767968,ds1_1,ds2_1,True,False,16.0470409712,15.612802498,84.1173495195,51.0538641686
SCO6076,-1.2568646121,-0.8798626944,-0.9577754471000001,1.9887556101000001,0.8497796168,0.0689836624,-0.0275135978,0.214497462,-1.5641025910000002,-0.6491623319000001,2.2163337883,-0.1681145235,0.20254239870000001,0.2153456793,-0.31669938540000003,0.0638569655,ds1_1,ds2_1,True,False,33.1689428427,88.056206089,58.6494688923,18.5792349727
SCO6108,0.6891993754,0.2643077166,0.6728998422,1.9062566168,-1.2941557699000001,-0.870945352,-0.6793821407,-0.6881802882,-0.6348295283000001,-0.4623648504,-0.1217685468,0.6907073589,2.1681131614,-1.4269274445,0.1502446281,-0.3631747783,ds1_1,ds2_1,True,False,86.0900354072,6.4012490242,86.9372787051,6.3231850117
SCO6148,-1.1718652134,0.6287861952,0.6078329255,1.9386461664999999,-1.1059435528,-0.9308020513,-0.06545656970000001,0.0988021001,-0.6090866274,1.0635502677,1.0646990946,0.933578232,0.6895414598,-0.4187287777,-1.1038539899,-1.6196996592000001,ds1_1,ds2_1,True,False,44.1831057157,56.8306010929,91.0343955488,71.975019516
SCO6339,-1.2044406183,0.542952337,0.2974872999,2.0123252746,-1.2054824188,-0.7472671375000001,-0.019018857,0.3234441201,-1.4358661761,0.3042323525,1.2859379394000001,0.7565632989000001,-0.872112658,-1.1986294557,1.1922113371,-0.032336638,ds1_1,ds2_1,True,False,26.5174506829,37.9391100703,66.7425392008,1.0148321624
SCO6474,-0.2396172352,-0.0840748146,-0.17209789720000002,2.5445687241,-0.5849465586,-0.9190291854,-0.49135931600000005,-0.053443717200000004,0.6103040266,-0.8045428673,-1.2220497841,2.1261570502,0.0628299776,-0.7141603837,-0.503929037,0.4453910178,ds1_1,ds2_1,True,False,64.1881638847,15.0663544106,73.052604957,24.8243559719
SCO6487,-1.6816811179000002,0.1389341761,1.0447571092,0.1631221859,-0.9867955384,-0.7617377426,0.6478539764,1.4355469514,-0.126578932,-1.7295488573000002,-0.2306469239,1.7413167236,0.7068705003,-0.7875170348,0.8032323497,-0.3771278255,ds1_1,ds2_1,True,False,3.363682347,61.5144418423,70.7258472433,0.0780640125
SCO6622,-1.1592170424,-0.5356691355000001,-0.5992984752,2.3833956464,0.44389302680000003,-0.336219347,-0.1045538278,-0.0923308453,-1.1532854552,2.0443221697,-0.6640711804,-0.3896528321,1.1579496137,-0.6141336629,0.040976895400000005,-0.4221055481,ds1_1,ds2_1,True,False,56.3606474456,13.0366900859,93.6646433991,55.1131928181
SCO6717,-1.8702063790999999,0.8224245562,0.9487957921,0.0979466616,1.3971831554,-0.012629054,-0.6334385219,-0.7500762104,-0.9647423337000001,0.4813684361,1.2924732372,0.9885587308,0.8256391244,-1.6737427151,-0.1170764359,-0.8324780437,ds1_1,ds2_1,True,False,54.0465351543,25.8391881343,94.5877592312,51.2880562061
SCO7286,-0.8222868609,0.368923638,0.21190271460000001,2.3876848522,-0.5108586390000001,-0.9721349771000001,-0.42060269910000003,-0.2426280287,-0.9174975586,0.0430754041,-0.8098864537,1.5704734611,-0.5320085397000001,1.7595349245,-0.6889241112000001,-0.42476712650000004,ds1_1,ds2_1,True,False,45.2073849267,82.3575331772,80.3869499241,57.2209211553
SCO7356,-0.8661198989000001,1.1980829815,-0.17817233500000002,1.9567862282,-0.0591242046,-0.9654857483,-1.0057767576,-0.0801902654,-0.2516381527,0.2852402308,0.8565179805,1.9221084519,0.1860613026,-0.5044274143,-1.1276591517,-1.366203247,ds1_1,ds2_1,True,False,16.6287303996,26.2295081967,70.4729387962,55.8157689305
SCO0954,-0.2447879245,1.5107713609,0.5466651522,1.4959897062,-0.4209873454,-0.6548674165,-1.0113252485,-1.2214582845,1.0017459724,-1.0470646876,-0.1159251427,-1.7663703157000001,0.0892624404,0.0743597751,0.10826254880000001,1.6557294093000001,ds1_1,ds2_2,True,False,84.4081942337,31.7720530835,62.8351036925,11.7096018735
SCO1545,0.749260515,0.478138282,-0.3087292696,2.1622372088,-0.96296425,-0.7804994966000001,-0.7341144186,-0.603328571,1.2766969441,-1.1438247924,-0.6371992916,-0.8069413129,0.8226071809000001,0.9224738275000001,-1.308417921,0.8746053653,ds1_1,ds2_2,True,False,62.7971674254,86.3387978142,68.4623166414,25.1366120219
SCO2148,-1.8301529566,0.0071325421,0.1422287415,1.8596057515000002,-0.9566832347,0.0674731244,0.3550954147,0.3553006172,0.2306603925,0.9102102325,-0.8561681334000001,-1.7086351583,-0.9644708427,0.9436043306,1.2708244551,0.17397472360000002,ds1_1,ds2_2,True,False,51.8082953971,0.31225605,99.0642387456,86.1046057767
SCO2241,-0.5888268829000001,-0.38917561900000003,-0.7605175239,2.5336143796,-0.6041875224000001,-0.2989431637,-0.0942906486,0.2023269808,0.9826058053000001,-0.9625066550000001,-1.0002707691,-1.6816476060999999,0.3264025336,0.5111100408,0.5601824298,1.2641242207,ds1_1,ds2_2,True,False,26.6565503288,22.8727556596,88.454729388,48.9461358314
SCO2617,-0.7291646412,-0.36517480480000003,-0.6915813969,2.5594967473,-0.0407052274,-0.5030529107,-0.2256577214,-0.0041600449,0.39109397960000003,0.1622329115,-0.6179527644,-1.3262701757,-1.3371339239,0.041497683300000004,0.968105697,1.7184265928,ds1_1,ds2_2,True,False,28.8694992413,97.5019516003,98.3434496712,73.7704918033
SCO3058,-0.0786179197,0.2563401602,0.4191476543,2.3124926508,-1.180134513,-0.6742683053,-0.5053812307000001,-0.5495784967,0.9168121677000001,-1.3707406536,-0.0202214497,-0.41779153150000004,0.2605481035,1.7267870241,-1.4009097176,0.3055160572,ds1_1,ds2_2,True,False,51.7830045524,45.8235753318,84.6863935255,49.1022638564
SCO3619,-0.5819183099,-0.11831550290000001,-0.7538132252,2.4134315493000003,0.6111280375,-0.3350767693,-0.5648898722,-0.6705459073000001,-2.0197455886,1.2041114178,1.0898789924,-1.0070616122,0.2617027521,0.4435968377,0.053059103,-0.0255419022,ds1_1,ds2_2,True,False,34.8887202833,74.3169398907,86.7855336368,9.8360655738
SCO3874,-0.3685094364,-0.5094696543,-0.3408695157,2.6191031316,-0.5695774445,-0.4956592335,-0.13191955700000002,-0.2030982903,0.0186402217,0.32023876300000004,0.31307293950000004,-2.0142901358,1.4313565896,-0.8143417244000001,-0.2405400407,0.9858633871,ds1_1,ds2_2,True,False,38.8973191705,2.1857923497,95.6626201315,83.8407494145
SCO3961,-0.20352967,-0.5032816749,-0.43601471480000004,2.5509863301999998,-0.5229706885000001,-0.7267003826,-0.3902847421,0.2317955427,0.9273437743,-0.4147889207,0.5675730419,-1.0175197527,0.1116321254,1.4253643876,0.26954447600000003,-1.8691491318,ds1_1,ds2_2,True,False,7.3216995448,13.4270101483,93.5381891755,59.718969555
SCO4577,-1.2540842331,-1.2307083926,-0.5752240980000001,1.9360189119000002,0.8428947947000001,-0.1541951486,0.1697555899,0.2655425758,0.0080478876,-1.170500316,1.1013268006,-0.6368781549,-0.9090466849000001,1.3402856843,1.2180520234,-0.9512872401,ds1_1,ds2_2,True,False,6.5756196257,61.7486338798,92.3748103187,72.4434035909
SCO4758,-0.0249622305,-0.4011749301,1.7469022531,0.9916218658,0.2458682019,0.0833850871,-0.9694525719,-1.6721876753,-0.4110943862,2.1126045145,-0.1734876663,-1.1139101141,-0.0257905599,-1.2439813312,0.7301363429000001,0.1255232004,ds1_1,ds2_2,True,False,17.5392008093,53.9422326308,57.3343449671,46.2138953942
SCO4913,-1.3974681743000001,-1.047925829,-0.8047535413,1.9604055209000002,0.1561181595,0.4324914278,0.3717915411,0.32934089520000004,0.0752303136,-0.583593425,2.1928637434000002,-1.477428867,0.6135468282000001,-0.2166441742,-0.1338433699,-0.4701310493,ds1_1,ds2_2,True,False,95.1947395043,23.6533957845,64.693980779,59.5628415301
SCO4919,-0.17345226400000002,0.5044384389000001,0.6080559426000001,2.0705903753,-1.4549311504,-0.818840176,-0.3803790213,-0.355482145,-1.5536803080000001,1.9533686035,0.0179814072,-0.8217945510000001,0.2427827021,-0.587523986,-0.07846364830000001,0.8273297805000001,ds1_1,ds2_2,True,False,61.0647445625,7.806401249,94.2463328275,56.362217018
SCO5176,-0.1194841021,-0.2782706149,0.7786236351,1.6678622906,1.0350901013,-1.2909335902999999,-0.6005339171,-1.1923538026,1.4915943434,-1.5373396817,0.3363021377,-0.9038078236,-0.9980445972,0.9003192109,-0.10405171690000001,0.8150281275,ds1_1,ds2_2,True,False,92.3621648963,5.9328649493,37.6833586242,3.4348165496
SCO5353,0.11178005660000001,0.30402653820000003,0.28618046540000003,2.3355891139000002,-0.6459843294000001,-0.9236992376000001,-0.8058035481,-0.6620890589,1.0484100516,0.6381519368,-0.44775477300000005,-1.4988526976,-0.1328780636,0.7971174267000001,1.0847238716,-1.4889177526,ds1_1,ds2_2,True,False,49.7597369752,61.9828259173,82.435508346,25.0585480094
SCO5737,-0.9070695275,-0.214769956,-0.2020783699,2.5477441184,-0.6903393118000001,-0.3108100948,-0.0858511187,-0.1368257397,-0.37622196410000003,-0.019021829900000002,-1.0078779629,-1.4026042477,-0.5529287143,0.7303683228000001,0.7747612370000001,1.8535251591000002,ds1_1,ds2_2,True,False,83.6368234699,3.0444964871,98.6848760749,94.3013270882
SCO6418,0.3120395264,0.9560216178000001,0.2472657207,1.7209634484,-0.0698061052,-0.7562191794,-1.697255151,-0.7130098776,2.0959289462,0.0875840339,-0.039521814,-0.9305300016,-1.3403306466,-0.5829401604000001,-0.0596687515,0.7694783942000001,ds1_1,ds2_2,True,False,12.5189681335,46.2138953942,60.9635811836,39.0320062451
SCO6517,-0.5227903740000001,-0.9372943806,-0.9913579298,2.4145565568,0.0831554953,0.1046377679,-0.0204754933,-0.1304316422,0.0273081475,1.3645452997,-0.7220209162,0.0031222186,-2.0028111641,-0.2775070993,1.1471020217,0.4602614921,ds1_1,ds2_2,True,False,50.0632271118,2.1077283372,72.0409711684,35.675253708
SCO6961,-0.6245786465000001,-0.1911301553,-0.0661424006,2.1798386218,1.0062801313,-0.6927248433000001,-0.9204386640000001,-0.6911040433,1.7378243463,0.2267883505,-0.6417759757,-1.3938054987,-1.2931452182,0.10233301600000001,0.4126919659,0.849089014,ds1_1,ds2_2,True,False,50.6196256955,74.7853239657,70.4223571067,31.693989071
SCO7057,-0.3018463401,-0.2532046328,-0.3573267196,2.5128114069,-0.2283024219,-0.8605095399,-0.7454002842,0.2337785316,1.0989199898,1.5233182063,-1.1956709214,-1.4537720401,0.3197166983,0.5176506147000001,-0.0656465977,-0.7445159499,ds1_1,ds2_2,True,False,72.8629236216,16.9398907104,74.822964087,44.1842310695
SCO7299,-0.533569505,0.9746246688,0.4997885892,2.0412909166,-0.5627258302,-0.7326652570000001,-1.034084144,-0.6526594385000001,-1.0095613676,0.9644372302,-0.1342756655,-0.7332299614000001,0.0843088553,2.0906005188,-0.23076677610000002,-1.0315128337,ds1_1,ds2_2,True,False,30.8295397066,29.6643247463,70.5993930197,2.4199843872
SCO0222,-1.3012223373,-0.7574951517,0.2472498385,1.9675051365,0.7026746279,-0.7870544363,-0.6210804297,0.5494227522,-0.1001579086,-0.1298283871,-1.3356022584,-0.8531614417000001,0.4541279266,0.6752462378,2.053226249,-0.7638504175,ds1_1,ds2_3,True,False,10.0151745068,35.987509758,87.1396054628,48.087431694
SCO0516,0.082067606,-1.3257997196,0.5515852735,2.177737033,-0.5750951080000001,-0.8719397143000001,-0.2394805529,0.2009251824,-2.2994112583,0.7195651251,-0.0459310772,-0.65539812,0.7832990134000001,0.019091106400000002,0.9066541854,0.5721310251,ds1_1,ds2_3,True,False,11.4314618108,50.0390320062,27.6176024279,0.7025761124000001
