gene,exp1_value1,exp1_value2,exp1_value3,exp1_value4,exp1_value5,exp1_value6,exp1_value7,exp1_value8,exp1_value9,exp2_value1,exp2_value2,exp2_value3,exp2_value4,exp2_value5,exp2_value6,exp2_value7,exp2_value8,exp2_value9,exp1_cluster,exp2_cluster
SCO1491,-1.5362250845,-1.6238272551000001,-0.38499302,1.1290515739,0.6902654807,0.6515034583,0.4460647397,-0.0621053736,0.6902654807,-1.6558809788,-1.6726111235999999,-0.151272776,0.3547351857,0.7370032091000001,0.1697566046,0.9614396787,0.5154077075,0.7414224927,exp1_1,exp2_1
SCO1494,-1.9918981032,-0.7194407376,0.5200371715000001,1.4929311401,0.5557649161,0.195739182,0.2836843995,-0.683712993,0.3468950246,-1.5448137433,-1.6644919463,-0.23226243400000002,0.2280784382,0.2302934948,0.49375492800000004,0.3310785683,1.0532521556,1.1051105386,exp1_1,exp2_1
SCO1496,-1.5514524397,-1.2852287654,0.9424158178,1.4216184316,0.38838276580000003,0.36104087490000003,0.11208576320000001,-0.7700499794,0.3811875313,-1.6133374336,-0.5972086586,-0.8232101212,-0.3285660476,0.1018293281,0.3446104034,1.0128238703,0.148690701,1.7543679583,exp1_1,exp2_1
SCO1502,0.28732886080000003,-1.8616237351,-0.21783536890000002,1.3618051587,0.6040588143,0.4757631369,0.6000495743,-1.2642469874,0.0147005464,-1.8043929763,-1.2137644193,0.6442418581,0.5617859582,0.564229096,1.1798998152,0.46650358500000005,-0.7153643133,0.3168613964,exp1_1,exp2_1
SCO1505,-1.3556989041,-1.5585047300000001,-0.7104076399,1.2463612986000001,0.7419278989,0.6861255686000001,0.47053683,-0.1585299682,0.6381896461000001,-1.1342228037,-0.1517642667,-0.6897717750000001,0.0961026531,-0.1828573584,0.7564034954000001,0.0529973715,2.1776765719,-0.9245638880000001,exp1_1,exp2_1
SCO1515,-0.3950116173,-0.7839367689000001,0.07608082000000001,2.1412185971,0.514306343,0.1199033723,0.0706030009,-1.51796452,-0.2251992271,-1.5199429402,-1.2000671219,-0.8030801131,-0.0085248552,0.9958580896,0.6238644063000001,1.1365182011,-0.1741782923,0.9495526259,exp1_1,exp2_1
SCO1521,-0.7882655866,-1.9598940849000002,-0.8557119704,1.0134009873,0.5101782679,0.8421598693000001,0.3942674168,0.0364380995,0.8074270010000001,-2.0583225331,-0.9135592759000001,0.0483150552,0.7297849955,-0.0313668421,0.1887069694,0.434582538,0.13558570450000001,1.4662733886,exp1_1,exp2_1
SCO1523,-1.7520150748,-1.4232382676,-0.13706339780000001,0.6256987949,-0.160735328,0.1391091202,0.8571576671000001,0.9518453876,0.8992410984,-0.9847143488000001,-0.0331989309,-0.5124643852,-1.4157562054000001,-0.3727233962,-0.29157123430000004,0.9889138117,1.0615652214,1.5599494677,exp1_1,exp2_1
SCO1531,-0.3750154677,-1.4047055614000001,-0.48723035130000003,1.7191355286,0.7052503481,0.5930354645,0.3646544691,-1.2956516605,0.1805272305,-1.8371571432,0.3301010177,-0.125690073,-0.4008456982,-0.0625388488,0.3654657033,-0.40874534230000004,2.0041366348,0.1352737497,exp1_1,exp2_1
SCO1557,-0.8678614679000001,0.0683589512,0.2556030351,2.0611709862,0.2154793028,-0.8277377356000001,0.0817335287,-1.4162191419,0.4294725415,-0.39634051800000003,-1.3288264556,0.4475775495,-0.4794832906,1.0086335588,0.028583394600000003,1.3567229515,-1.4553700079,0.8185028176,exp1_1,exp2_1
SCO1570,-1.5892195256,-1.7200964277000002,-0.1391865467,1.020008872,0.49442385240000003,0.1204898464,0.4321015181,0.5235076084,0.8579708027,-0.4684185148,-1.2603937996,-0.6324749561,0.5795561316,-0.682066646,-0.4540831327,-0.1153824423,1.2242117156,1.8090516443,exp1_1,exp2_1
SCO1579,-1.4260542995,-1.6235079718,-0.4976019258,1.2878834083,0.3468276087,0.0695522392,0.2880116212,0.7165281014,0.8383612183,-0.07532096960000001,0.2307202693,-1.8006258172,-1.1307519546,-0.19512208860000002,0.2707945873,0.1358074109,1.3144141943,1.2500843681,exp1_1,exp2_1
SCO1580,-1.3090863922,-1.8361067566,-0.5547728849,0.9413654955,0.4293314922,0.34440877950000004,0.41434513110000004,0.7040814452,0.8664336902,-0.5517831584,-1.8326167488,-0.43529494,-0.8928377580000001,0.48462200440000003,0.7857735736,0.3321673775,0.7705638984000001,1.3394057514,exp1_1,exp2_1
SCO1598,-1.2922838218,-1.5255267719,-0.6506706898,1.3217533881,0.7495670875,0.7070529043,0.4788804531,-0.4037763965,0.615003847,-1.3047863716,1.7241816874,-0.6094025936,0.26162566730000003,0.49696631420000004,-0.3099268371,1.0882644728,-0.1988766652,-1.1480456741,exp1_1,exp2_1
SCO1600,-1.1314930645,-1.5469600768,-0.6279658850000001,1.4630705964000001,0.7485986405,0.7665817541000001,0.3264236414,-0.5173554643,0.5190998581,-1.7613766065,-0.6813379772,-0.7046211033,-0.6472370569,0.5774740275,0.2682032377,0.6291072351,1.0458099125,1.2739783312,exp1_1,exp2_1
SCO1639,1.5433059448000002,-1.4971745171,0.0964566216,1.1071542648000001,-0.1342005169,0.29775739700000003,0.18452571080000002,-1.4007178956000002,-0.1971070093,-0.6149253906000001,-0.17873805280000002,0.3667161198,1.2055040771,1.0635305253,0.3956094976,-2.1616744372,0.10139571160000001,-0.1774180508,exp1_1,exp2_1
SCO1655,-2.019766188,-1.0909685979,0.1808692171,1.1819425779000001,0.5605866988,0.5702953844,0.489389671,-0.3908644911,0.5185157278,-2.3175496485,-0.48227587980000003,0.0115547648,0.11131853130000001,0.2483852715,-0.16509216540000002,0.6985150487,0.8727763235,1.0223677539,exp1_1,exp2_1
SCO1658,1.4969183672000002,-1.4487210705,-0.5004672789,-1.3881942327,-0.16756967120000002,0.2762938057,0.07958158300000001,0.765552411,0.8866060865000001,-0.6961435502000001,-0.4615990005,-0.7841981405,2.1699766756,-0.2656019538,-0.46018181290000004,-0.8664422616,0.7687088048,0.595481239,exp1_1,exp2_1
SCO1776,-1.3732064633,-0.7047797476000001,-0.0117267845,1.7719171358999999,0.7886262567000001,0.43506370440000003,0.4737620932,-1.1849915723,-0.1946646225,-2.0574220761,0.40677828590000004,-0.8833411595,-0.505236109,0.0479175759,0.3659556232,0.6157797499000001,0.8794756551,1.1300924548,exp1_1,exp2_1
SCO1814,-2.3655145822,-0.0617969561,0.3646517436,0.8507436181,0.6874704271000001,0.7307117289,0.3937277913,-0.617969561,0.0179757902,-1.2438977445,-0.3174901553,0.2664621772,0.5207880252,0.5875766802,0.5812838939,-2.0031360966,0.7029444298,0.9054687902,exp1_1,exp2_1
SCO1815,-2.3214555619,-0.1264208561,0.2474322619,0.932629295,0.6825924829000001,0.6988208337,0.5251173753,-0.6583501317,0.019634300900000002,-2.2624167607,-0.6219871555,-0.4883526662,0.1485879236,0.6187693278,0.5606591462,0.8413672873,0.3727001549,0.8306727425,exp1_1,exp2_1
SCO1840,-0.8881023527,-1.0477152179,0.4256343073,2.2427653884,0.014324231500000001,-0.5688766222,0.2107708349,-0.6732388803,0.2844383111,-0.578657556,-1.4744639648,0.1167330339,-1.3639626277,0.6340751450000001,1.6748797837,0.1350942833,0.5398207316,0.316481171,exp1_1,exp2_1
SCO1849,-2.1118512088,-0.9631841391,0.520471946,0.6165830006,-0.0375320407,-0.1849645322,0.22374072900000003,0.9599700694000001,0.976766176,-1.6558694215,-0.9694183027000001,-0.8437955138000001,-0.5688538012000001,0.7228945224000001,0.8124739929,0.7700728851,0.9222201338,0.810275505,exp1_1,exp2_1
SCO1851,-2.0378844235,-1.2719585146,-0.0469928354,0.4197835602,0.2934186796,0.3114708054,0.5951470680000001,0.8195092029000001,0.9175064573,-1.678732275,0.6173558484,-0.650321452,1.7223319442,-0.8121525967000001,0.4224624268,-0.4641286296,0.3867899702,0.45639476360000003,exp1_1,exp2_1
SCO1858,-2.2599976543,-0.7283314543,0.5703295967,0.6731259860000001,0.0083760021,-0.18351059120000002,0.1934095028,0.7587896437,0.9678089685000001,-2.5208782647,-0.3433382669,0.06493169260000001,0.1246389194,0.3245649305,0.4629798712,0.6457693670000001,0.6344051517,0.6069265992,exp1_1,exp2_1
SCO1864,-0.3514852411,-2.1751158586,0.16490917130000002,1.5118680234,0.34907780800000004,0.04574123,-0.0842601605,-0.2575953479,0.7968603754,-2.1852082928,-0.9360208271,-0.2511026163,0.1209165781,0.7305113029,0.5722006039,0.8205053517,0.3400991642,0.7880987356,exp1_1,exp2_1
SCO1866,-1.8749303504000001,-1.4182720239,0.0082356232,1.1181603315,0.5321050101,0.44793414940000004,0.33047182880000003,0.0653964316,0.7908989998,-2.2901634691,-0.3238955619,-0.6000225013,-0.0347035835,0.2897517137,0.8109607659,0.6974710375000001,0.6589312199,0.791670379,exp1_1,exp2_1
SCO1867,-1.9389019856,-1.3439753542,0.06970642690000001,1.1356830989,0.5317182613,0.3788662447,0.3246370076,0.0651873238,0.7770789766,-2.0949311032,-0.4996824154,-0.7710366403000001,-0.0982218457,0.3287079898,0.4855621372,0.6793517934000001,0.9104422548000001,1.0598078292,exp1_1,exp2_1
SCO1872,0.7553848633,-1.3446641545,-1.2616113685,1.4316718351,-0.8107533873,-0.0514136294,-0.1463310992,0.34012093320000003,1.0875960073,-0.9282225607000001,-1.4551906725000001,0.7118163942,0.6022862616,0.6057819041,1.2929669653,0.8408638644,-0.7621795404,-0.9081226161,exp1_1,exp2_1
SCO1921,-0.13914330290000002,-0.3112511841,0.9590688915000001,1.0066034492,0.8148260959,0.2444114038,0.5115884004,-1.8618612378,-1.2242425158999999,-1.7555251155,-1.0783364102,-0.2923038384,-0.319778387,-0.2618523635,0.7358520694,0.9118628346000001,0.9846734894,1.0754077211,exp1_1,exp2_1
SCO1922,-0.5103055839,-0.3035995246,0.676101069,1.1605683955,0.8569688709000001,0.5641352869,0.5081523958,-1.7720738209,-1.1799470886,-0.9357548782,-0.7826159999000001,-0.6989595902,-0.4152395099,0.9061336869000001,0.062211203300000004,0.8304388101,-0.8618694407,1.8956557185,exp1_1,exp2_1
SCO1925,0.2242218396,-0.3074626038,0.6930658813,1.1269378732,0.7345951903,0.4138359217,0.3280451123,-1.8555222424000002,-1.3577169721,-0.4015102733,-0.9127464283000001,-1.5126629294,-1.0553535933,0.5155553941000001,0.26128471270000003,0.8917731668000001,0.9966222662,1.2170376845,exp1_1,exp2_1
SCO1939,-0.2588012751,-0.9085115892000001,1.5863760169,1.2030469316,0.2024930479,0.2479727699,0.22198435730000002,-1.5712161096,-0.7233441497,-1.7225317954000001,0.2342476454,0.7549386130000001,0.9553074667,0.8433957658000001,-0.1262822653,0.7602996526,-1.4605109867000001,-0.2388640961,exp1_1,exp2_1
SCO1945,-0.6583995354000001,-1.1550535202,0.3212076346,1.3065234711,0.6911292233,0.8646726846,0.6854205568,-1.5820617738,-0.4734387411,-0.1654167265,-0.7624651720000001,-1.0525868173,-0.9802952548,-0.258628992,-0.3081870507,0.4410631834,1.2249281169,1.8615887130000002,exp1_1,exp2_1
SCO1946,-1.4494420531,-0.3951115214,0.8009301032,1.367774475,0.7839247720000001,0.33611771830000003,0.42114437400000004,-1.4740053092,-0.3913325589,-2.1494332693000002,-0.8199870323,0.4917578402,1.0528542201,0.4050580315,0.17527219230000002,0.20252491820000001,-0.3555474786,0.9975005779,exp1_1,exp2_1
SCO1947,-2.3984211417,-0.7526740291,0.3420025199,0.7196178328,0.5246923003,0.5737892169000001,0.543007451,0.0715077522,0.3764780977,-0.2156131177,-0.8024724270000001,-0.9164628972000001,-0.8767503307000001,-0.5910102111000001,0.6838871604,-0.3639309752,1.5181140557,1.5642387428,exp1_1,exp2_1
SCO1998,-0.9572303343,-1.5199960453,-0.5160175588,1.5667519373,0.7513372309,0.7498744162000001,0.3233594455,-0.8080232353,0.4099441439,-0.5565002102000001,0.6096765049,-0.9958388021000001,-1.0907681753,-0.8272668854,0.5465350645,-0.1594506542,0.5056242047,1.9679889530999999,exp1_1,exp2_1
SCO2013,-0.0732232559,-2.0659793099,-0.8501936510000001,1.1000964096999999,0.43479584870000004,0.8594557813,0.2413396572,-0.4333977913,0.7871063113000001,-2.288605307,-0.5848170143,0.2942830289,0.5550948675,-0.0884233869,0.030431425300000002,0.5043307917000001,0.2799961333,1.2977094614,exp1_1,exp2_1
SCO2025,-1.9343361522,-1.0560822144,1.0125324324,1.2266521941,0.19597401920000002,-0.3375108108,-0.021774891,0.31210677130000003,0.6024386515,-1.9936244950000002,-1.0681571926,0.29129001260000004,0.2409123196,0.6565986467,1.16281472,0.6565986467,0.5395197624,-0.4859524203,exp1_1,exp2_1
SCO2037,-0.9567969935,-1.8988679102,-0.4338222641,1.4073353449,0.33989377390000003,0.2539253252,0.5512328769,-0.1580068246,0.8951066716,-1.8252599399,-0.8665797714,-0.7722190748000001,-0.1804427059,0.3423400627,0.8570347716000001,1.0484521848,0.2727337307,1.1239407421,exp1_1,exp2_1
SCO2050,-1.7452678488000002,-1.0289226339,0.6457122062,1.5660497671,0.5033919648,0.3563277154,0.313631643,-0.730050127,0.1191273131,-2.4537026003999998,-0.2753289564,0.9839675718,0.49895638750000004,0.4259417333,0.0435429513,-0.1894232969,0.46626479800000004,0.4997814118,exp1_1,exp2_1
SCO2053,-1.0825750996,-0.8911571055,0.9975004356,2.0375382031,-0.1318657292,-0.34242552270000004,0.040410465400000005,-0.8401123071000001,0.21268666,-0.5782526482,-2.2043790178,0.8169841453000001,0.8268122642,0.3387535767,0.7453385828,-0.07025285,0.6838772305,-0.5588812834,exp1_1,exp2_1
SCO2076,-1.2898965453,-1.7561773361,0.0643019215,1.534243847,0.5157014104000001,0.22138232970000002,0.5123944545,-0.2862354106,0.4842853288,-1.0669733428,-0.1919254021,-0.5174187416,-0.1112193836,1.5249616797,0.31531349470000003,0.4532516996,1.1811760226999999,-1.5871660266,exp1_1,exp2_1
SCO2082,0.48404682800000004,-0.7486828257,0.5102596263,1.2762558434,0.3653611023,0.6034606869,0.2335689775,-2.0877199391,-0.6365502996,-1.8985438443,-0.0422067181,-0.0493675831,-0.684944542,0.46427389950000003,1.2706408341,0.5621167460000001,-0.7342005852,1.1122317932,exp1_1,exp2_1
SCO2086,-0.7726100282,-0.8542328875,1.2213198209,1.730490991,0.0164109453,-0.29064647790000003,-0.0341174915,-1.3983852829,0.3817704108,-0.4643986204,0.5486991499,0.029526491300000002,0.7367773952000001,0.5542919609,-0.7763176815,0.7906281758,-2.1924174354,0.7732105642,exp1_1,exp2_1
SCO2094,-0.9188030442,-1.7367000715,-0.1893021688,1.3701920495,0.7002422660000001,0.8453980524,0.5615998803,-0.8192410624,0.1866140986,0.0148113874,-2.522101556,0.4589943151,0.22999968680000002,0.43566638,0.9211492745000001,0.5079115668,-0.2204913051,0.1740602505,exp1_1,exp2_1
SCO2115,-1.4175804737,-1.4002400396999999,0.1112677844,1.4407010522,0.6762769232,0.7774294545,0.4826420777,-0.7947698884000001,0.1242731098,-1.4711081531,0.8776665469,-0.2640749632,-0.83113464,0.8353851508,-0.12241790470000001,1.0354308039,-1.1519842822,1.0922374416,exp1_1,exp2_1
SCO2116,-1.7433773088,-0.7607957587,-0.6924705516,1.6533615597,0.36982374020000003,-0.1442421039,0.2526948137,0.0965229117,0.9684826978000001,-1.1098160654,-1.3405752606,0.5251342402,0.5491993386,0.2043154742,0.7135211455,0.863669643,1.0250386771,-1.4304871927,exp1_1,exp2_1
SCO2122,-0.0564775832,-2.1895924577,0.2650101983,1.4640727346,0.0825441601,0.45182066590000003,0.1737771792,-0.6994531462,0.5082982491,-1.1317550836999999,-0.1887062333,0.2388671235,1.7071583715,-0.6358133983,0.41358618550000004,0.9171243518000001,0.1835213336,-1.5039826506,exp1_1,exp2_1
SCO2126,-0.0133185131,-1.0585106124,0.3541230824,1.8955853853,0.1793642748,0.47174920280000004,0.1345543241,-1.6746474341000002,-0.2888997097,-1.0975914063,-0.2001665869,-1.5301876658,-0.6613932564,0.058800089400000005,0.4745875275,0.2424964942,1.2959108699,1.4175439344,exp1_1,exp2_1
SCO2140,0.6442460726,-1.3574066358999999,-0.1357406636,1.5276045448,-0.013574066400000001,0.8133998226,0.24955398920000002,-1.629932122,-0.0981509414,-1.287444805,0.8911445731000001,-0.4364399661,-0.7645663639,1.0338636277,0.398636407,0.8144755571000001,-1.4804978119,0.8308287821,exp1_1,exp2_1
SCO2155,-1.5523489697000001,-0.4033684542,-0.056612507400000005,1.5715784787,0.8771294069000001,0.6262780328,0.3207579283,-1.2971240972,-0.0862898182,-1.2799786045000001,0.2715152731,-1.1724595054,0.263646093,-0.8280741306,0.7664036605,0.17619538040000002,1.8798135589,-0.07706172530000001,exp1_1,exp2_1
SCO2164,-0.1064839721,-0.2760538759,1.2186381417,1.2415014996,0.3726939023,0.0592753721,0.3098196683,-1.9898530728,-0.8295376632,-2.528531585,-0.3708879302,0.1179976252,0.1918361788,0.48932867350000003,0.44444175690000004,0.6781252510000001,0.3413970092,0.6362930206,exp1_1,exp2_1
SCO2198,-2.6375911165,0.3735971381,0.1822134069,0.5952990842,0.37738691500000004,0.36075400550000003,0.3788607171,0.0590456592,0.3104341905,-2.0581035735,-0.618545941,-0.2853546301,-0.0725707365,-0.2459699803,0.40146623810000004,0.5079367029,1.140383827,1.2307580933,exp1_1,exp2_1
SCO2241,-2.3739261323,0.1337530007,0.7254014350000001,1.0371546485,0.3522078072,0.2498071167,0.3726879454,-0.6331143929,0.1360285716,-2.5815288231,-0.058147523400000005,0.059111107100000004,0.2666955264,0.3245919752,0.39207676,0.3233094589,0.8402856606,0.43360585830000004,exp1_1,exp2_1
SCO2300,-1.0716810885,-1.8641380887999999,0.5596380518,1.3556646782000001,0.3490301102,0.6203216959,0.4596885202,-0.66474371,0.2562198309,-2.4107818018,-0.5023321738000001,0.052454716000000005,0.4989615415,0.23749163550000002,0.0828983632,0.4020168777,0.5792809511,1.0600098907,exp1_1,exp2_1
SCO2321,-0.552257576,-1.3084777659,0.4722988104,1.4175740477,-0.3875967282,-1.2109009672,-0.2290344303,0.4174118611,1.3809827482,-1.6247464037000001,-0.1774590207,-0.8566377310000001,-0.8729804687,0.6976202989,0.1245632621,0.2389624261,1.5680302649,0.9026473721,exp1_1,exp2_1
SCO2370,0.3023630116,-1.8355611996999999,-1.3087030938,0.8287212521,0.20488926340000002,0.9801804609,0.1978911481,-0.35545982260000003,0.98567898,-1.5182567236,0.08942752970000001,0.0240608847,1.3012245638,0.8691342797,0.6318030764,0.3180431804,-1.6533477899,-0.0620890013,exp1_1,exp2_1
SCO2387,-2.3077392918,-0.0888264555,0.8978815929,0.8144756494000001,0.6350741861,0.5280627869,0.2794186535,-0.6522099984,-0.10613712310000001,-2.2672403301,-0.6642668787,0.3299875879,0.7986953742,0.47695224220000004,-0.23790788170000002,0.7431125883,-0.0889244822,0.9095917800000001,exp1_1,exp2_1
SCO2388,-2.3192960539,-0.3825350853,0.4682512803,0.7282334586,0.7735709502,0.7459434163,0.46400089040000003,-0.5858453991,0.1076765425,-2.1295884418,0.2654854164,-0.9366351062,0.7450560706,0.6377317178,0.8685692854,0.6851767861,0.33345913190000004,-0.46925486,exp1_1,exp2_1
SCO2390,-2.2520523498,-0.2225310081,0.9924352936,0.8551101316,0.5905785037,0.399768805,0.3123143597,-0.7429210957,0.06729736010000001,-2.060094987,-0.6042281303,-0.6281483965,-0.2165377266,0.2197381313,0.6942533074,1.1234110237000001,0.5430341853,0.9285725928,exp1_1,exp2_1
SCO2504,-0.6938526608000001,-1.6322302362999999,-0.8406582303,1.4701701786,0.6373657442,0.7560788899,0.5630567522000001,-0.7033678366,0.44343739930000003,-0.6850489618000001,-0.9372656812000001,-1.3892009154,-0.4306593479,-0.4718906921,0.393618799,1.0589269098,1.2956114572000001,1.1659084325,exp1_1,exp2_1
SCO2508,-0.2558770808,-1.9778872433,-0.4416418758,1.188960213,0.2100092302,0.9972981230000001,0.5314118119,-0.8544525311000001,0.6021793529,-0.1231721125,1.0432971199,0.22361603770000002,0.6825787903,0.6679154436,0.7463643486,0.0205286854,-1.4582698324,-1.8028584805999999,exp1_1,exp2_1
SCO2532,0.8469034441000001,-1.4017449910000002,0.1846302749,1.2815736895,-0.4177473881,0.5063547085,0.8879746484000001,-1.5095569023,-0.378387484,-2.3690178034000002,1.1032774417,0.31850622370000004,-0.3005743341,-0.36190139660000004,0.4446032716,0.413509375,0.6893735651,0.062223657,exp1_1,exp2_1
SCO2562,-0.1801997082,-0.5324841708,0.3245981499,2.0258743353,0.543701901,0.0152752071,0.032459815,-1.7031855863,-0.5260399429,-0.1697769948,-2.5785540335,0.2516807461,0.22699139000000002,0.38660286110000003,0.48946358700000003,0.180672767,0.7647325207,0.4481871564,exp1_1,exp2_1
