"gene","ds1_PM","ds1_MM","ds1_BN","ds1_SN","ds1_PMN","ds2_PM","ds2_MM","ds2_BN","ds2_SN","ds2_PMN","ds1_cluster","ds2_cluster","ds1_var","ds2_var","ds1_median","ds2_median"
"ENSG00000091583",-1.2355254677,-0.3727322341,-0.5598843352,0.5049954254,1.6631466117,0.4786528612,-1.8540189116,0.6924860919,0.8985781163,-0.2156981577,"ds1_2","ds2_2",0.2891008962,26.2214512865,0.4047412547,52.7320034692
"ENSG00000092010",-0.925426147,-0.7768614969,-0.6161565898,0.6729958907,1.6454483429,1.2096573646,-1.7154745197,-0.3949881229,0.3236439297,0.5771613483,"ds1_2","ds2_2",88.3781439722,2.9488291414,82.596126048,95.114194854
"ENSG00000092098",-1.0248815388,-0.7459679112,-0.526567149,0.660438277,1.636978322,0.4390663133,0.2513704358,-1.9640496626,0.4425158592,0.8310970543,"ds1_2","ds2_2",57.1552471813,0.2601908066,44.0011564036,27.4356750506
"ENSG00000092531",-1.176649038,-0.8414160589,-0.3140419789,0.954473782,1.3776332938,-1.0702895314,-0.9750557607,-0.2669500738,0.874075608,1.4382197579,"ds1_2","ds2_2",87.9734027175,84.5909222319,85.5449551894,56.3168545822
"ENSG00000092929",-1.679716739,-0.4577106423,0.1828487385,0.864528185,1.0900504579,-1.8015306543,-0.1606782184,0.1344184476,0.7721338402,1.055656585,"ds1_2","ds2_2",78.4908933218,23.2148019659,87.6264816421,95.3165654814
"ENSG00000097033",-0.9471108122,-0.8002351536,-0.5380384682,0.612773162,1.672611272,-0.757074653,-1.2073335029,-0.3507173794,0.8692244421,1.4459010933,"ds1_2","ds2_2",84.8800231281,75.4553339115,65.192252096,34.2295461116
"ENSG00000099246",-1.7469933667,-0.4408242526,0.8304960574,0.9458718794,0.4114496826,-1.8135766352,-0.1066132351,0.6748291485,0.1385742967,1.1067864252,"ds1_2","ds2_2",84.1283607979,31.8878288523,90.8065915004,75.3107834634
"ENSG00000099308",-1.0868442211,-0.8396110919,-0.3768169393,0.7520736695,1.5511985828,-0.4339763951,-0.7539896111,-1.0444967444,0.5416681762,1.6907945744,"ds1_2","ds2_2",74.2700202371,94.1601618965,50.4481063891,9.4825093958
"ENSG00000099331",-1.2985131122,-0.6942024514,-0.2935818481,0.8860704836,1.4002269282,-1.458393249,-0.6301514535,-0.0925894557,0.8799105322,1.301223626,"ds1_2","ds2_2",83.3188782885,46.7476149176,83.2610581093,72.9112460249
"ENSG00000099940",-1.7409827167,-0.3101875549,0.2572180879,0.5827552319,1.2111969518,-1.4900929479,-0.7762418298,0.3876542104,1.3013316542,0.5773489131,"ds1_2","ds2_2",14.7441457069,34.0560855739,27.3200346921,23.5617230413
"ENSG00000100030",-1.6663715896,-0.4253745878,0.1376589549,0.7382091905,1.215878032,-1.9474681356,0.1708989863,0.4067816542,0.491850757,0.877936738,"ds1_2","ds2_2",85.4293148309,52.9921942758,92.0786354438,88.8117953166
"ENSG00000100034",-0.7207365799,-0.8056926975,-0.7440606011,0.5435483374,1.7269415411,-0.8214019862,-0.707985732,-0.1309525903,-0.2717693698,1.9321096783,"ds1_2","ds2_2",82.6828563169,19.0228389708,34.6342873663,67.5339693553
"ENSG00000100055",-0.785176451,-0.7420292848,-0.6268019761,0.3286272286,1.8253804833,-0.6913837525,-0.4564773935,-0.2156189587,-0.6100777295,1.9735578341,"ds1_2","ds2_2",94.1601618965,63.7756577045,59.9306157849,3.2957502168
"ENSG00000100092",-0.6125064835,-1.073145455,-0.6718777608,0.8303385495,1.5271911498,-1.091764297,0.0363987634,-0.898576416,0.2386141155,1.7153278341,"ds1_2","ds2_2",55.8832032379,4.1341428158,32.4660306447,79.849667534
"ENSG00000100239",-1.1998736152,-0.6526519791,-0.1329849921,0.2359404053,1.7495701811,-0.9811893807,-0.4604734186,0.8619517667,-0.9172563967,1.4969674293,"ds1_2","ds2_2",34.2584562012,14.5128649899,43.8855160451,28.7655391732
"ENSG00000100266",-0.9437017655,-0.7340599118,-0.5028912082,0.4047391206,1.775913765,-1.1010003846,-1.0685150836,-0.1224621382,1.1934019843,1.0985756222,"ds1_2","ds2_2",84.0705406187,46.1694131252,61.4050303556,78.4330731425
"ENSG00000100288",-1.1370332456,-0.6419686884,-0.5769045268,0.8721222783,1.4837841825,0.2587063563,-0.8412290825,0.3242016363,-1.3003381536,1.5586592435,"ds1_2","ds2_2",60.4799074877,9.5114194854,63.2552760914,37.2651055218
